"code","type","floor","status","companyName","companyNameEng","shortName","listedDate","delistedDate","companyId","isin","indexCode"
"SAF","STOCK","HNX","listed","Công ty Cổ phần Lương thực Thực phẩm SAFOCO","Safoco Foodstuff Joint Stock Company","Th.phẩm SAFOCO","2009-06-08",,"1319","VN000000SAF5",
"CIC","STOCK","HNX","delisted","Công ty Cổ phần Đầu tư và Xây dựng COTEC ","Cotec Investment Land - House Development Joint Stock Company",,"2006-12-29","2013-09-20","1332",,
"NBC","STOCK","HNX","listed","Công ty Cổ phần Than Núi Béo - Vinacomin ","Vinacomin - Nui Beo Coal Joint Stock Company","Than Núi Béo","2006-12-27",,"1335","VN000000NBC1",
"TMX","STOCK","HNX","listed","Công ty Cổ phần Vicem Thương mại xi măng ","VICEM Cement Trading Joint Stock Company","Vicem T.mại X.măng","2009-11-02",,"2557","VN000000TMX1",
"CSC","STOCK","HNX","listed","Công ty cổ phần Tập đoàn COTANA","COTANA Group Joint Stock Company","COTANA","2009-11-04",,"2564","VN000000CSC8",
"CAN","STOCK","HNX","listed","Công ty Cổ phần Đồ hộp Hạ Long","Halong Canned Food Joint Stock Corporation","Đồ hộp Hạ Long","2009-06-12",,"10","VN000000CAN3",
"VIG","STOCK","HNX","listed","Công ty Cổ phần Chứng khoán Thương mại và Công nghiệp Việt Nam (VICS) ","Vietnam Industrial And Commercial Securities Corporation","Chứng khoán VICS","2009-12-01",,"2601","VN000000VIG0",
"DNC","STOCK","HNX","listed","Công ty Cổ phần Điện nước lắp máy Hải Phòng","Hai Phong Electricity Water Machine Assembly Joint Stock","Điện nước lắp máy Hải Phòng","2009-12-23",,"2626","VN000000DNC7",
"PGT","STOCK","HNX","listed","Công ty cổ phần PGT Holdings","PGT Holdings Joint Stock Company","PGT Holdings","2009-12-25",,"2632","VN000000PGT9",
"HMH","STOCK","HNX","listed","Công ty Cổ phần Hải Minh ","HAI MINH Corporation","CTCP Hải Minh","2010-07-28",,"2641","VN000000HMH9",
"AMV","STOCK","HNX","listed","Công ty Cổ phần Sản xuất kinh doanh dược và Trang thiết bị y tế Việt Mỹ","American Vietnamese Biotech Incorporation","T.bị y tế Việt Mỹ","2009-12-30",,"2644","VN000000AMV5",
"HHL","STOCK","HNX","delisted","Công ty Cổ phần Hồng Hà Long An","Hong Ha Long An Joint Stock Company",,"2010-01-08","2014-05-07","2666",,
"CPC","STOCK","HNX","listed","Công ty Cổ phần Thuốc sát trùng Cần Thơ","Can Tho Pesticides Joint Stock Company","Sát trùng Cần Thơ","2010-01-18",,"2671","VN000000CPC4",
"INN","STOCK","HNX","listed","Công ty Cổ phần Bao bì và In nông nghiệp ","Agriculure Printing And Packaging Joint Stock Company","Bao bì In N.nghiệp","2010-01-22",,"2675","VN000000INN3",
"BTW","STOCK","HNX","listed","Công ty Cổ phần Cấp nước Bến Thành","Ben Thanh Water Supply Joint Stock Company","Cấp nước Bến Thành","2017-11-14",,"1523","VN000000BTW6",
"NSN","STOCK","HNX","delisted","Công ty Cổ phần Xây dựng 565","565 Construction Joint Stock Company",,"2010-05-20","2014-07-07","1543",,
"DXP","STOCK","HNX","listed","Công ty Cổ phần Cảng Đoạn Xá","Doan Xa Port Joint Stock Company","Cảng Đoạn Xá","2009-06-08",,"147","VN000000DXP8","HNX30"
"HBB","STOCK","HNX","delisted","Ngân hàng Thương mại Cổ phần Nhà Hà Nội","Hanoi Building Joint Stock Bank",,"2010-11-23","2012-08-16","154",,
"DL1","STOCK","HNX","listed","Công ty cổ phần tập đoàn Alpha Seven","ALPHA SEVEN GROUP JOINT STOCK COMPANY","CTCP Alpha Seven","2010-03-10",,"2713","VN000000DL14",
"HHC","STOCK","HNX","listed","Công ty Cổ phần Bánh kẹo Hải Hà","Haiha Confectionery Joint-Stock Company","Bánh kẹo Hải Hà","2007-11-20",,"232","VN000000HHC0",
"BPC","STOCK","HNX","listed","Công ty Cổ phần Vicem Bao bì Bỉm sơn","Vicem Packaging Bimson Joint Stock Company","Bao bì Bỉm sơn","2009-06-08",,"242","VN000000BPC6",
"CET","STOCK","HNX","listed","CÔNG TY CỔ PHẦN HTC HOLDING","HTC HOLDING JOINT STOCK COMPANY","HTC HOLDING","2017-07-28",,"1693","VN000000CET2",
"WCS","STOCK","HNX","listed","Công ty Cổ phần Bến xe miền Tây","West Coach Station Joint Stock Company","Bến xe miền Tây","2010-09-17",,"1717","VN000000WCS6",
"SDG","STOCK","HNX","listed","Công ty Cổ phần SADICO Cần Thơ","Can Tho Sadico Joint Stock Corporation","SADICO Cần Thơ","2009-12-22",,"317","VN000000SDG7",
"L61","STOCK","HNX","listed","Công ty Cổ phần LILAMA 69-1","Lilama 69-1 Joint Stock Company","CTCP LILAMA 69-1","2008-11-19",,"1975","VN000000L615",
"PVI","STOCK","HNX","listed","Công ty Cổ phần PVI","PVI Holdings","CTCP PVI","2007-08-10",,"424","VN000000PVI1",
"PSI","STOCK","HNX","listed","Công ty Cổ phần Chứng khoán Dầu khí","Petrovietnam Securities Incorporated","CK Dầu khí","2010-07-21",,"2082","VN000000PSI7",
